,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1538,CG,127,2,2,1,1,1,1
1539,CG,0,1,2,2,1,2,1
1540,CG,70,2,1,2,2,2,2
1541,CG,0,1,2,1,2,1,2
1542,CG,94,2,1,3,1,2,1
1543,CG,68,1,2,2,3,1,2
1544,CG,94,2,1,2,2,2,1
1545,CG,94,2,2,0,2,2,2
1546,CG,94,2,2,1,0,2,2
1547,CG,94,2,2,1,1,2,2
1548,CG,94,2,2,1,1,2,2
1549,CG,94,2,2,1,1,2,2
1550,CG,126,2,2,1,1,2,2
1551,CG,126,2,2,3,1,2,2
1552,CG,127,2,2,3,3,2,2
1553,CG,95,2,2,3,3,3,2
1554,CG,127,2,2,2,3,2,3
1555,CG,0,1,2,1,2,1,2
1556,CG,127,2,1,2,1,2,1
1557,CG,0,1,2,2,2,1,2
1558,CG,126,2,1,1,2,1,1
1559,CG,0,1,2,2,1,1,1
1560,CG,127,2,1,1,2,2,1
1561,CG,33,1,2,2,1,1,2
1562,CG,127,2,1,2,2,2,1
1563,CG,127,2,2,3,2,2,2
1564,CG,1,1,2,1,3,1,2
1565,CG,0,1,1,0,1,1,1
1566,CG,102,1,1,0,0,1,1
1567,CG,127,2,1,3,0,2,1
1568,CG,1,1,2,2,3,2,2
1569,CG,66,2,1,1,2,2,2
1570,CG,56,1,2,1,1,1,2
1571,CG,127,2,1,2,1,2,1
1572,CG,27,1,2,1,2,1,2
1573,CG,0,1,1,1,1,1,1
1574,CG,127,2,1,2,1,2,1
1575,CG,0,1,2,2,2,1,2
1576,CG,70,1,1,1,2,1,1
1577,CG,96,2,1,1,1,2,1
1578,CG,63,2,2,1,1,1,2
1579,CG,32,2,2,2,1,2,1
1580,CG,127,2,2,1,2,2,2
1581,CG,39,1,2,2,1,2,2
1582,CG,0,1,1,1,2,1,2
1583,CG,127,2,1,2,1,2,1
1584,CG,0,1,2,0,2,1,2
1585,CG,126,2,1,3,0,2,1
1586,CG,1,1,2,1,3,1,2
1587,CG,127,2,1,1,1,1,1
1588,CG,126,2,2,2,1,2,1
1589,CG,0,1,2,0,2,1,2
1590,CG,127,2,1,3,0,2,1
1591,CG,1,1,2,2,3,1,2
1592,CG,126,2,1,2,2,2,1
1593,CG,61,1,2,1,2,1,2
1594,CG,6,1,1,1,1,1,1
1595,CG,0,1,1,2,1,1,1
1596,CG,118,2,1,0,2,1,1
1597,CG,127,2,2,3,0,2,1
1598,CG,7,1,2,1,3,1,2
1599,CG,127,2,1,1,1,2,1
1600,CG,0,1,2,1,1,1,2
1601,CG,127,2,1,2,1,2,1
1602,CG,32,1,2,2,2,1,2
1603,CG,127,2,1,1,2,2,1
1604,CG,127,2,2,1,1,2,2
1605,CG,1,1,2,2,1,1,2
1606,CG,126,2,1,2,2,2,1
1607,CG,7,1,2,1,2,1,2
1608,CG,26,2,1,2,1,2,1
1609,CG,95,1,2,1,2,1,2
1610,CG,126,2,1,0,1,1,1
1611,CG,33,1,2,3,0,2,1
1612,CG,126,2,1,1,3,2,2
1613,CG,127,2,2,3,1,2,2
1614,CG,0,1,2,1,3,1,2
1615,CG,6,1,1,1,1,1,1
1616,CG,0,1,1,2,1,1,1
1617,CG,127,2,1,2,2,2,1
1618,CG,1,1,2,1,2,1,2
1619,CG,66,2,1,0,1,1,1
1620,CG,127,2,2,2,0,2,1
1621,CG,1,1,2,3,2,1,2
1622,CG,126,2,1,2,3,2,1
1623,CG,1,1,2,1,2,1,2
1624,CG,94,2,1,2,1,2,1
1625,CG,127,2,2,2,2,2,2
1626,CG,127,2,2,2,2,2,2
1627,CG,127,2,2,1,2,2,2
1628,CG,0,1,2,1,1,1,2
1629,CG,0,1,1,1,1,1,1
1630,CG,127,2,1,2,1,2,1
1631,CG,127,2,2,2,2,2,2
1632,CG,0,1,2,1,2,1,2
1633,CG,0,1,1,1,1,1,1
1634,CG,127,2,1,2,1,2,1
1635,CG,126,2,2,1,2,2,2
1636,CG,127,2,2,2,1,2,2
1637,CG,0,1,2,0,2,1,2
1638,CG,127,2,1,3,0,2,1
1639,CG,1,1,2,2,3,1,2
1640,CG,0,1,1,2,2,1,1
1641,CG,0,1,1,0,2,1,1
1642,CG,127,2,1,3,0,2,1
1643,CG,1,1,2,1,3,1,2
1644,CG,88,1,1,1,1,1,1
1645,CG,0,1,1,1,1,1,1
1646,CG,127,2,1,3,1,2,1
1647,CG,71,2,2,2,3,2,2
1648,CG,0,1,2,1,2,1,2
1649,CG,0,1,1,1,1,1,1
1650,CG,0,1,1,1,1,1,1
1651,CG,127,2,1,1,1,2,1
1652,CG,127,2,2,2,1,2,2
1653,CG,126,2,2,2,2,2,2
1654,CG,7,1,2,2,2,1,2
1655,CG,0,1,1,1,2,1,1
1656,CG,127,2,1,1,1,2,1
1657,CG,0,1,2,2,1,2,2
1658,CG,14,1,1,1,2,1,2
1659,CG,96,2,1,0,1,1,1
1660,CG,7,1,2,2,0,2,1
1661,CG,127,2,1,3,2,2,2
1662,CG,127,2,2,2,3,2,2
1663,CG,6,1,2,2,2,1,2
1664,CG,96,1,1,1,2,1,1
1665,CG,79,2,1,2,1,2,1
1666,CG,127,2,2,2,2,2,2
1667,CG,102,2,2,1,2,1,2
1668,CG,95,1,2,2,1,1,1
1669,CG,96,2,1,2,2,2,1
1670,CG,95,1,2,1,2,1,2
1671,CG,127,2,1,2,1,2,1
1672,CG,99,2,2,2,2,2,2
1673,CG,126,2,2,1,2,2,2
1674,CG,15,1,2,1,1,1,2
1675,CG,96,2,1,2,1,2,1
1676,CG,31,1,2,1,2,1,2
1677,CG,127,2,1,2,1,2,1
1678,CG,113,1,2,1,2,1,2
1679,CG,6,1,1,1,1,1,1
1680,CG,126,2,1,2,1,2,1
1681,CG,1,1,2,1,2,1,2
1682,CG,126,2,1,2,1,2,1
1683,CG,127,2,2,2,2,2,2
1684,CG,64,1,2,1,2,1,2
1685,CG,63,2,1,2,1,2,1
1686,CG,3,1,2,0,2,1,2
1687,CG,102,2,1,1,0,2,1
1688,CG,99,2,2,3,1,2,2
1689,CG,28,1,2,0,3,1,2
1690,CG,127,2,1,3,0,2,1
1691,CG,127,2,2,2,3,2,2
1692,CG,15,1,2,1,2,1,2
1693,CG,102,2,1,2,1,2,1
1694,CG,127,2,2,2,2,2,2
1695,CG,1,1,2,1,2,1,2
1696,CG,126,2,1,1,1,2,1
1697,CG,0,1,2,2,1,1,2
1698,CG,126,2,1,1,2,1,1
1699,CG,127,2,2,2,1,2,1
1700,CG,0,1,2,2,2,1,2
1701,CG,14,1,1,0,2,1,1
1702,CG,127,2,1,3,0,2,1
1703,CG,7,1,2,2,3,1,2
1704,CG,0,1,1,2,2,1,1
1705,CG,127,2,1,2,2,2,1
1706,CG,127,2,2,1,2,2,2
1707,CG,17,1,2,1,1,1,2
1708,CG,2,1,1,1,1,1,1
1709,CG,125,2,1,2,1,2,1
1710,CG,31,1,2,2,2,1,2
1711,CG,64,1,1,1,2,1,1
1712,CG,32,2,1,1,1,1,1
1713,CG,127,2,2,2,1,2,1
1714,CG,6,1,2,1,2,1,2
1715,CG,97,2,1,1,1,1,1
1716,CG,126,2,2,2,1,2,1
1717,CG,1,1,2,1,2,1,2
1718,CG,126,2,1,2,1,2,1
1719,CG,1,1,2,1,2,1,2
1720,CG,120,2,1,2,1,2,1
1721,CG,127,2,2,2,2,2,2
1722,CG,1,1,2,1,2,1,2
1723,CG,96,2,1,2,1,2,1
1724,CG,12,1,2,0,2,1,2
1725,CG,66,2,1,3,0,2,1
1726,CG,127,2,2,2,3,2,2
1727,CG,127,1,2,1,2,1,2
1728,CG,70,2,1,2,1,2,1
1729,CG,112,1,2,2,2,1,2
1730,CG,0,1,1,0,2,1,1
1731,CG,127,2,1,3,0,2,1
1732,CG,127,2,2,2,3,2,2
1733,CG,15,1,2,1,2,1,2
1734,CG,96,2,1,1,1,1,1
1735,CG,14,1,2,2,1,1,1
1736,CG,127,2,1,2,2,2,1
1737,CG,70,2,2,1,2,2,2
1738,CG,0,1,2,1,1,1,2
1739,CG,65,2,1,2,1,2,1
1740,CG,8,1,2,2,2,1,2
1741,CG,127,2,1,2,2,2,1
1742,CG,0,1,2,1,2,1,2
1743,CG,126,1,1,1,1,1,1
1744,CG,96,2,1,2,1,2,1
1745,CG,15,1,2,1,2,1,2
1746,CG,126,2,1,1,1,1,1
1747,CG,38,1,2,1,1,1,1
1748,CG,95,1,1,3,1,2,1
1749,CG,96,1,1,2,3,1,2
1750,CG,15,1,1,1,2,1,1
1751,CG,127,2,1,2,1,2,1
1752,CG,126,2,2,1,2,2,2
1753,CG,103,2,2,2,1,2,2
1754,CG,28,1,2,1,2,1,2
1755,CG,103,2,1,2,1,2,1
1756,CG,32,1,2,1,2,1,2
1757,CG,15,1,1,1,1,1,1
1758,CG,64,2,1,2,1,2,1
1759,CG,121,1,2,1,2,1,2
1760,CG,127,2,1,2,1,2,1
1761,CG,0,1,2,1,2,1,2
1762,CG,7,1,1,1,1,1,1
1763,CG,64,1,1,1,1,1,1
1764,CG,127,1,1,1,1,1,1
1765,CG,126,2,1,1,1,2,1
1766,CG,62,1,2,2,1,2,2
1767,CG,99,2,1,1,2,2,2
1768,CG,126,2,2,2,1,2,2
1769,CG,1,1,2,1,2,1,2
1770,CG,102,2,1,2,1,2,1
1771,CG,63,1,2,1,2,1,2
1772,CG,64,2,1,1,1,1,1
1773,CG,62,1,2,1,1,1,1
1774,CG,127,1,1,2,1,1,1
1775,CG,126,2,1,2,2,2,1
1776,CG,31,1,2,2,2,1,2
1777,CG,64,2,1,1,2,2,1
1778,CG,94,1,2,1,1,1,2
1779,CG,127,2,1,2,1,2,1
1780,CG,70,2,2,1,2,1,2
1781,CG,63,1,2,2,1,1,1
1782,CG,96,2,1,1,2,2,1
1783,CG,127,1,2,2,1,2,2
1784,CG,127,2,1,2,2,2,2
1785,CG,70,2,2,1,2,1,2
1786,CG,127,1,2,2,1,2,1
1787,CG,112,2,1,1,2,1,2
1788,CG,2,1,2,1,1,1,1
1789,CG,127,2,1,2,1,2,1
1790,CG,126,2,2,1,2,2,2
1791,CG,103,2,2,2,1,2,2
1792,CG,48,1,2,1,2,1,2
1793,CG,0,1,1,1,1,1,1
1794,CG,127,2,1,2,1,2,1
1795,CG,99,2,2,1,2,1,2
1796,CG,95,1,2,2,1,1,1
1797,CG,96,2,1,2,2,2,1
1798,CG,7,1,2,2,2,1,2
1799,CG,127,2,1,1,2,2,1
1800,CG,0,1,2,1,1,1,2
1801,CG,127,2,1,2,1,2,1
1802,CG,0,1,2,1,2,1,2
1803,CG,112,2,1,1,1,2,1
1804,CG,127,2,2,2,1,2,2
1805,CG,1,1,2,1,2,1,2
1806,CG,124,2,1,2,1,2,1
1807,CG,127,2,2,2,2,2,2
1808,CG,0,1,2,1,2,1,2
1809,CG,7,1,1,2,1,1,1
1810,CG,112,1,1,1,2,1,1
1811,CG,71,2,1,1,1,1,1
1812,CG,127,1,2,2,1,2,1
1813,CG,126,2,1,2,2,2,2
1814,CG,111,2,2,2,2,2,2
1815,CG,24,1,2,1,2,1,2
1816,CG,66,2,1,1,1,1,1
1817,CG,127,1,2,2,1,1,1
1818,CG,127,2,1,1,2,2,1
1819,CG,113,2,2,2,1,2,2
1820,CG,14,1,2,2,2,1,2
1821,CG,99,2,1,0,2,1,1
1822,CG,127,2,2,3,0,2,1
1823,CG,7,1,2,1,3,1,2
1824,CG,64,1,1,1,1,1,1
1825,CG,127,2,1,1,1,2,1
1826,CG,0,1,2,2,1,1,2
1827,CG,126,1,1,0,2,1,1
1828,CG,66,2,1,3,0,2,1
1829,CG,60,1,2,3,3,2,2
1830,CG,127,2,1,2,3,2,2
1831,CG,0,1,2,1,2,1,2
1832,CG,127,2,1,2,1,2,1
1833,CG,126,2,2,1,2,2,2
1834,CG,5,1,2,2,1,1,2
1835,CG,96,2,1,1,2,2,1
1836,CG,127,2,2,1,1,2,2
1837,CG,7,1,2,1,1,1,2
1838,CG,0,1,1,0,1,1,1
1839,CG,103,2,1,3,0,2,1
1840,CG,79,1,2,2,3,1,2
1841,CG,112,1,1,2,2,1,1
1842,CG,6,1,1,1,2,1,1
1843,CG,127,1,1,2,1,2,1
1844,CG,127,2,1,2,2,2,2
1845,CG,71,2,2,1,2,2,2
1846,CG,56,1,2,2,1,1,2
1847,CG,70,2,1,1,2,2,1
1848,CG,123,1,2,1,1,1,2
1849,CG,127,2,1,1,1,2,1
1850,CG,103,1,2,0,1,1,2
1851,CG,30,1,1,3,0,2,1
1852,CG,100,2,1,1,3,1,2
1853,CG,127,2,2,2,1,2,1
1854,CG,94,2,2,1,2,2,2
1855,CG,0,1,2,1,1,1,2
1856,CG,126,1,1,2,1,2,1
1857,CG,127,2,1,1,2,2,2
1858,CG,48,1,2,1,1,1,2
1859,CG,127,2,1,1,1,2,1
1860,CG,15,1,2,0,1,1,2
1861,CG,0,1,1,3,0,2,1
1862,CG,127,2,1,2,3,2,2
1863,CG,1,1,2,1,2,1,2
1864,CG,110,1,1,2,1,2,1
1865,CG,127,2,1,2,2,2,2
1866,CG,0,1,2,1,2,1,2
1867,CG,64,1,1,2,1,2,1
1868,CG,124,2,1,1,2,1,2
1869,CG,63,2,2,2,1,2,1
1870,CG,68,1,2,1,2,1,2
1871,CG,94,1,1,2,1,2,1
1872,CG,64,1,1,2,2,2,2
1873,CG,126,2,1,1,2,2,2
1874,CG,127,1,2,0,1,1,2
1875,CG,126,2,1,3,0,2,1
1876,CG,14,1,2,2,3,1,2
1877,CG,64,2,1,2,2,2,1
1878,CG,126,1,2,0,2,1,2
1879,CG,127,2,1,3,0,2,1
1880,CG,126,2,2,1,3,2,2
1881,CG,63,1,2,1,1,1,2
1882,CG,97,2,1,2,1,2,1
1883,CG,95,2,2,2,2,2,2
1884,CG,0,1,2,1,2,1,2
1885,CG,119,2,1,2,1,2,1
1886,CG,95,1,2,1,2,1,2
1887,CG,96,2,1,2,1,2,1
1888,CG,7,1,2,1,2,1,2
1889,CG,127,1,1,2,1,1,1
1890,CG,126,2,1,2,2,2,1
1891,CG,127,2,2,2,2,2,2
1892,CG,0,1,2,1,2,1,2
1893,CG,6,1,1,1,1,1,1
1894,CG,127,2,1,2,1,2,1
1895,CG,3,1,2,0,2,1,2
1896,CG,66,2,1,3,0,2,1
1897,CG,126,2,2,2,3,2,2
1898,CG,0,1,2,0,2,1,2
1899,CG,124,1,1,2,0,2,1
1900,CG,127,2,1,2,2,2,2
1901,CG,127,2,2,2,2,2,2
1902,CG,12,1,2,1,2,1,2
1903,CG,119,2,1,1,1,2,1
1904,CG,32,1,2,0,1,1,2
1905,CG,95,2,1,3,0,2,1
1906,CG,0,1,2,2,3,1,2
1907,CG,127,2,1,2,2,2,1
1908,CG,127,2,2,1,2,2,2
1909,CG,120,1,2,2,1,1,2
1910,CG,7,1,1,1,2,1,1
1911,CG,112,1,1,2,1,2,1
1912,CG,127,2,1,1,2,2,2
1913,CG,127,2,2,1,1,2,2
1914,CG,62,1,2,2,1,1,2
1915,CG,103,2,1,1,2,2,1
1916,CG,0,1,2,1,1,1,2
1917,CG,127,2,1,2,1,2,1
1918,CG,70,2,2,1,2,1,2
1919,CG,62,1,2,1,1,1,1
1920,CG,96,2,1,2,1,2,1
1921,CG,63,1,2,1,2,1,2
1922,CG,64,1,1,1,1,1,1
1923,CG,126,2,1,2,1,2,1
1924,CG,3,1,2,1,2,1,2
1925,CG,0,1,1,1,1,1,1
1926,CG,127,2,1,2,1,2,1
1927,CG,14,1,2,1,2,1,2
1928,CG,96,2,1,1,1,2,1
1929,CG,127,2,2,2,1,2,2
1930,CG,0,1,2,1,2,1,2
1931,CG,103,2,1,2,1,2,1
1932,CG,111,2,2,2,2,2,2
1933,CG,24,1,2,0,2,1,2
1934,CG,6,2,1,3,0,2,1
1935,CG,127,2,2,2,3,2,2
1936,CG,127,2,2,2,2,2,2
1937,CG,65,1,2,1,2,1,2
1938,CG,14,1,1,1,1,1,1
1939,CG,127,2,1,2,1,2,1
1940,CG,112,1,2,2,2,1,2
1941,CG,15,1,1,1,2,1,1
1942,CG,0,1,1,2,1,2,1
1943,CG,127,2,1,2,2,2,2
1944,CG,70,2,2,1,2,2,2
1945,CG,28,1,2,1,1,1,2
1946,CG,96,2,1,2,1,2,1
1947,CG,78,1,2,1,2,1,2
1948,CG,127,1,1,2,1,2,1
1949,CG,126,2,1,2,2,2,2
1950,CG,47,1,2,1,2,1,2
1951,CG,120,1,1,2,1,2,1
1952,CG,0,1,1,1,2,1,2
1953,CG,119,2,1,2,1,2,1
1954,CG,31,1,2,1,2,1,2
1955,CG,112,2,1,2,1,2,1
1956,CG,7,1,2,1,2,1,2
1957,CG,0,1,1,2,1,1,1
1958,CG,126,2,1,1,2,2,1
1959,CG,0,1,2,2,1,1,2
1960,CG,6,1,1,1,2,1,1
1961,CG,127,2,1,2,1,2,1
1962,CG,33,1,2,2,2,2,2
1963,CG,127,2,1,2,2,2,2
1964,CG,32,1,2,1,2,1,2
1965,CG,0,1,1,1,1,1,1
1966,CG,127,2,1,2,1,2,1
1967,CG,71,1,2,1,2,1,2
1968,CG,127,2,1,1,1,1,1
1969,CG,6,1,2,2,1,1,1
1970,CG,127,2,1,2,2,2,1
1971,CG,0,1,2,1,2,1,2
1972,CG,7,1,1,2,1,1,1
1973,CG,70,2,1,2,2,2,1
1974,CG,127,1,2,2,2,1,2
1975,CG,70,2,1,1,2,1,1
1976,CG,30,1,2,2,1,2,1
1977,CG,96,2,1,2,2,2,2
1978,CG,95,1,2,1,2,1,2
1979,CG,127,1,1,1,1,1,1
1980,CG,102,1,1,0,1,1,1
1981,CG,127,2,1,3,0,2,1
1982,CG,127,1,2,1,3,1,2
1983,CG,0,1,1,2,1,2,1
1984,CG,127,2,1,2,2,2,2
1985,CG,1,1,2,1,2,1,2
1986,CG,0,1,1,1,1,1,1
1987,CG,127,2,1,2,1,2,1
1988,CG,0,1,2,2,2,1,2
1989,CG,127,1,1,1,2,1,1
1990,CG,64,2,1,1,1,2,1
1991,CG,14,1,2,2,1,1,2
1992,CG,127,2,1,2,2,2,1
1993,CG,70,2,2,1,2,1,2
1994,CG,127,2,2,2,1,2,1
1995,CG,6,1,2,1,2,1,2
1996,CG,96,2,1,3,1,2,1
1997,CG,127,2,2,2,3,2,2
1998,CG,7,1,2,1,2,1,2
1999,CG,64,2,1,1,1,2,1
2000,CG,121,1,2,2,1,1,2
2001,CG,102,2,1,2,2,2,1
2002,CG,95,1,2,1,2,1,2
2003,CG,96,1,1,2,1,1,1
2004,CG,127,2,1,1,2,2,1
2005,CG,31,1,2,2,1,1,2
2006,CG,118,2,1,0,2,1,1
2007,CG,15,2,2,3,0,2,1
2008,CG,122,2,2,2,3,2,2
2009,CG,7,1,2,1,2,1,2
2010,CG,126,2,1,0,1,1,1
2011,CG,7,1,2,2,0,2,1
2012,CG,0,1,1,2,2,2,2
2013,CG,127,1,1,1,2,1,2
2014,CG,126,2,1,2,1,2,1
2015,CG,125,1,2,2,2,2,2
2016,CG,6,2,1,1,2,1,2
2017,CG,82,1,2,1,1,1,1
2018,CG,125,2,1,2,1,2,1
2019,CG,126,2,2,2,2,2,2
2020,CG,63,1,2,1,2,1,2
2021,CG,64,2,1,1,1,1,1
2022,CG,6,1,2,2,1,1,1
2023,CG,127,2,1,2,2,2,1
2024,CG,7,2,2,1,2,1,2
2025,CG,127,2,2,1,1,2,1
2026,CG,30,1,2,2,1,1,2
2027,CG,102,2,1,2,2,2,1
2028,CG,99,2,2,2,2,2,2
2029,CG,7,1,2,1,2,1,2
2030,CG,96,2,1,2,1,2,1
2031,CG,127,2,2,2,2,2,2
2032,CG,36,1,2,1,2,1,2
2033,CG,127,1,1,1,1,1,1
2034,CG,64,1,1,1,1,1,1
2035,CG,127,2,1,3,1,2,1
2036,CG,71,1,2,2,3,1,2
2037,CG,103,2,1,1,2,1,1
2038,CG,111,2,2,2,1,2,1
2039,CG,56,1,2,2,2,1,2
2040,CG,70,2,1,1,2,2,1
2041,CG,127,1,2,1,1,1,2
2042,CG,127,2,1,2,1,2,1
2043,CG,127,2,2,2,2,2,2
2044,CG,2,1,2,2,2,1,2
2045,CG,127,2,1,0,2,1,1
2046,CG,56,1,2,3,0,2,1
2047,CG,103,2,1,1,3,2,2
