,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
3591,EP,52891156,26638816,126356907,57225228406.0,299876.41,41007,41007,299545.05,32610964245,601625499,50729956,41065829,56872427367.0,52315341,96161528943.0,28290065,128802847,103000000000.0,57134719170.0,116755699,109011098,418000000000.0,96074254127.0,9.46,146.27,155.73000000000002
3592,EP,51358882,29136875,134886849,71762443680.0,298894.05,65132,65143,298201.54,40940757281,619779042,51141487,40847992,71808045707.0,53022328,114000000000.0,26892042,122219869,123000000000.0,71823287020.0,136102666,127063048,416000000000.0,115000000000.0,8.99,153.94,162.93
3593,EP,53791970,26083823,133040847,84323998101.0,297451.12,60424,60413,297563.77,47715564230,633943987,53085166,42711488,84529138444.0,57030740,132000000000.0,25205710,136881923,143000000000.0,84567077429.0,155959721,145619810,416000000000.0,133000000000.0,7.2,160.66,167.85999999999999
3594,EP,59471086,25430875,134623549,97228911410.0,297772.88,61816,61843,297948.3,53355707476,624331678,57830213,42683801,97679950058.0,64188043,152000000000.0,24237531,132453588,165000000000.0,97702595487.0,177732093,165991336,416000000000.0,154000000000.0,8.13,165.77,173.9
3595,EP,238467649,47789668,361089828,87248422074.0,300252.56,406517,406490,302455.18,49538632237,1794869056,326980629,199142117,86792266715.0,348084009,175000000000.0,48873845,392411475,188000000000.0,86537959619.0,207575147,193999022,428000000000.0,177000000000.0,11.22,172.47,183.69
3596,EP,1409552776,37535095,458593557,80363777639.0,306400.62,18628,18677,306173.88,57831293062,3045417492,1406144549,563830668,80202229762.0,1435325407,197000000000.0,36688168,463497965,213000000000.0,80021648666.0,236998886,221262650,428000000000.0,198000000000.0,15.14,187.01,202.14999999999998
3597,EP,1407939681,38985646,481032566,80440095909.0,306258.73,8841,8792,306254.81,57825257780,3106676062,1409011911,563483179,80235233196.0,1433307981,198000000000.0,38202470,482200096,213000000000.0,80343959237.0,238394562,222475890,428000000000.0,199000000000.0,16.59,188.0,204.59
3598,EP,1405437289,37283330,465296908,80636225605.0,306578.18,9830,9879,306672.33,57647268142,3065398120,1408908030,561031356,80066066289.0,1433766471,198000000000.0,37651541,466870506,213000000000.0,80061043394.0,237862062,222014170,428000000000.0,198000000000.0,16.25,188.17,204.42
3599,EP,1410993645,38027264,472117095,80362096083.0,306483.43,9728,9690,306303.75,57764196522,3074717466,1407427165,561306614,80111777756.0,1434662254,197000000000.0,37435302,466399216,213000000000.0,80007175933.0,237460352,221640580,428000000000.0,198000000000.0,15.74,187.94,203.68
3600,EP,1406595038,38186004,471594271,80480087929.0,306264.73,8150,8139,306362.84,57851881656,3088648339,1408579317,562927809,80243683341.0,1435247639,198000000000.0,37968972,480870739,213000000000.0,80280459767.0,238214033,222355336,428000000000.0,199000000000.0,15.72,188.62,204.34
3601,EP,1410381654,37839725,466476729,80644933833.0,306584.6,8970,8970,306539.65,57716087455,3052354253,1406855588,562364966,80079959368.0,1437876409,198000000000.0,37276201,464948490,213000000000.0,80063921727.0,237420860,221568942,428000000000.0,198000000000.0,15.61,188.48,204.08999999999997
3602,EP,1414408862,38098553,469232727,80350749143.0,306321.86,4119,4169,306373.8,57684260568,3084750412,1409955149,562517970,80066755766.0,1441077902,197000000000.0,37799512,473331093,213000000000.0,80034363273.0,238024034,222173364,428000000000.0,198000000000.0,16.77,188.52,205.29000000000002
3603,EP,1410155391,37993655,467262244,80542765855.0,306421.57,5682,5632,306334.22,57904235719,3048533556,1407153607,564198248,80213900997.0,1438401823,197000000000.0,37052618,468227557,212000000000.0,80209091058.0,237645668,221803428,428000000000.0,198000000000.0,18.64,189.1,207.74
3604,EP,1412303400,38182554,477755686,80540005458.0,306550.82,7596,7596,306634.8,57641462114,3113614091,1408023672,562479212,80066452973.0,1442172322,198000000000.0,37497740,472654976,213000000000.0,80136545075.0,237941935,222026112,428000000000.0,198000000000.0,17.85,189.02,206.87
3605,EP,1419885391,37135881,456402745,80414681931.0,306363.76,3817,3817,306284.89,57824653040,3038981963,1404175469,560856397,80063453227.0,1444680026,196000000000.0,36788112,458215611,212000000000.0,79969413378.0,237207032,221441206,428000000000.0,198000000000.0,17.39,189.02,206.41000000000003
3606,EP,1414627022,39572253,482851581,80502548810.0,306373.07,6842,6842,306385.49,57837874124,3102964298,1402994468,561447977,80245764347.0,1445917218,198000000000.0,38097239,482955045,213000000000.0,80266481576.0,238489973,222586644,428000000000.0,199000000000.0,15.64,189.28,204.92000000000002
3607,EP,1417063228,36707685,457792754,80627677923.0,306531.34,1890,1890,306569.72,57809674919,3017824773,1405171509,560327978,80022319618.0,1445256223,197000000000.0,36217362,454525181,212000000000.0,80153896067.0,236925621,221122678,428000000000.0,197000000000.0,16.42,189.26,205.68
3608,EP,1418369809,38437016,475585463,80300738407.0,306232.4,3534,3534,306237.58,57735757933,3092159406,1404784108,560402888,80159910835.0,1446075430,197000000000.0,37437376,477373901,213000000000.0,79939861665.0,237951287,222076750,428000000000.0,198000000000.0,15.09,189.14,204.23
3609,EP,1413553547,37365378,462773698,80501136736.0,306310.91,2724,2724,306306.79,57919228825,3052218883,1400855801,563108454,80325182843.0,1443820577,197000000000.0,36743027,466883375,212000000000.0,80294650217.0,237680309,221908582,428000000000.0,198000000000.0,16.39,189.93,206.32
3610,EP,1416433727,38206586,475028948,80594918063.0,306641.73,3262,3262,306749.62,57689197393,3087668449,1400523731,559918418,80037606292.0,1445601069,198000000000.0,37700707,473298942,213000000000.0,80049350245.0,238092500,222140926,428000000000.0,198000000000.0,14.94,189.54,204.48
3611,EP,1417932920,36789922,455965074,80393662420.0,306354.37,4066,4066,306353.96,57865009988,3038360451,1404620828,561153935,80261943982.0,1448089056,196000000000.0,36292351,462909931,212000000000.0,80054705001.0,237239738,221416524,428000000000.0,198000000000.0,13.96,189.28,203.24
3612,EP,1415395041,38243147,479496018,80643121916.0,306490.04,7074,7134,306304.52,58012834513,3066891733,1406230106,564657077,80282144895.0,1441139618,197000000000.0,37742010,478159246,212000000000.0,80417507076.0,238042287,222230372,428000000000.0,198000000000.0,15.11,190.04,205.14999999999998
3613,EP,1412279727,37198405,461509457,80576745719.0,306170.7,4345,4285,305938.62,57752090231,3052624105,1403047340,563257390,79994716801.0,1437623772,197000000000.0,36939156,468956439,212000000000.0,79995323057.0,237231626,221367944,427000000000.0,197000000000.0,16.03,189.84,205.87
3614,EP,1412872933,36868856,457786064,80309279553.0,305755.56,1633,1634,305891.47,57779464145,3026823115,1406862084,561935809,79982535887.0,1440764575,197000000000.0,36301528,459499303,212000000000.0,79959983218.0,236762043,220948546,427000000000.0,197000000000.0,15.48,189.4,204.88
3615,EP,1411594121,37445795,468996627,80413966997.0,305809.43,5457,5456,306004.6,57954222854,3046514732,1409045396,565983419,80297412198.0,1440378581,197000000000.0,37225636,473430054,212000000000.0,80271671037.0,237582169,221763444,428000000000.0,198000000000.0,15.66,190.44,206.1
3616,EP,1409816222,36875277,458537599,80513026385.0,306194.68,804,804,306152.04,57861939109,3031894222,1404242555,562718864,80187404494.0,1441235366,197000000000.0,36311452,460728841,212000000000.0,80219145769.0,236963396,221185146,428000000000.0,198000000000.0,17.99,190.03,208.02
3617,EP,1412417920,37749334,467233590,80761443242.0,306203.96,1663,1663,305985.59,57780363235,3038977536,1407418420,564110832,79983999968.0,1438619066,197000000000.0,37263332,472191753,212000000000.0,79961969425.0,237560229,221720324,427000000000.0,198000000000.0,17.72,190.57,208.29
3618,EP,1411187690,37347861,464814676,80352116709.0,305608.23,545,545,305671.21,57814468829,3044682671,1406392020,563081086,79993086263.0,1439608193,197000000000.0,36838270,470521083,212000000000.0,79985994461.0,237218737,221379396,427000000000.0,198000000000.0,15.43,190.28,205.71
3619,EP,1411216485,36696193,456688610,80379550586.0,305991.73,2,2,306146.33,57889104622,3022069409,1410232385,562560781,80157821520.0,1437966688,197000000000.0,36106730,458682889,212000000000.0,80158061384.0,236886752,221102714,428000000000.0,198000000000.0,15.24,189.78,205.02
3620,EP,1412239134,37465463,471606220,80680131232.0,306030.24,566,566,305916.16,57880234327,3037934603,1405220141,565340633,80158004825.0,1438500218,197000000000.0,37403335,475665150,212000000000.0,80173903132.0,237781517,222000310,427000000000.0,198000000000.0,15.72,190.25,205.97
3621,EP,1411066496,36541192,453134009,80454770558.0,306174.73,2169,2169,306377.18,57796746397,3024027301,1405487503,563215048,80166853754.0,1441892921,197000000000.0,36069720,459664968,212000000000.0,80053596203.0,237003080,221181632,428000000000.0,197000000000.0,16.36,189.99,206.35000000000002
3622,EP,1416164516,37150052,465342544,80606690665.0,306291.99,279,279,306202.65,57962446437,3029096816,1410720445,565638590,80200926674.0,1442496162,197000000000.0,37213264,469850365,212000000000.0,80120188385.0,237497790,221629310,428000000000.0,198000000000.0,16.59,190.31,206.9
3623,EP,1410915818,37656868,471451491,80696314390.0,306090.0,2236,2283,305828.75,57874498063,3056596172,1406138923,563816933,80117020222.0,1443495943,197000000000.0,37785895,475661769,213000000000.0,80195386359.0,237846701,222022010,427000000000.0,198000000000.0,16.08,190.4,206.48000000000002
3624,EP,1410782058,36912367,455773463,80682195608.0,305828.29,4556,4509,306010.11,57757370712,3014129847,1403962717,562372083,80071468368.0,1442824422,197000000000.0,36576844,458617770,212000000000.0,80090336866.0,236976974,221123798,428000000000.0,197000000000.0,16.66,190.27,206.93
3625,EP,1413797864,37883248,468871746,80481817845.0,306139.6,3070,3132,306288.31,57899482304,3054171204,1406891290,565496478,80242316541.0,1448621136,197000000000.0,37371409,473386791,213000000000.0,80095798968.0,237759880,221912124,428000000000.0,198000000000.0,17.26,190.84,208.1
3626,EP,1412965031,37457765,461997480,80813832591.0,306451.15,5762,5748,306472.06,57987392887,3050421991,1410379478,564338260,80230089121.0,1445337321,197000000000.0,37002707,466858679,212000000000.0,80336586586.0,237482446,221677694,428000000000.0,198000000000.0,16.7,190.92,207.61999999999998
3627,EP,1410096387,37692407,467830675,80658803820.0,306245.85,6171,6123,306125.98,57773805209,3044034000,1403456688,564266760,80128952298.0,1441791384,197000000000.0,37376441,467427201,212000000000.0,80171289005.0,237804313,221967718,428000000000.0,198000000000.0,16.17,190.95,207.12
3628,EP,1413579346,37066802,460152838,80591872186.0,306295.22,3,3,305953.72,57772850274,3024368339,1401738786,561098300,79961133829.0,1444229350,197000000000.0,36322794,465039179,212000000000.0,79975509234.0,236944319,221084052,427000000000.0,197000000000.0,15.97,190.53,206.5
3629,EP,1411181247,37244133,466623581,80549968248.0,305486.13,1892,1892,305900.36,57942482981,3029095090,1404293027,562771567,80282693696.0,1442722758,197000000000.0,36123186,468096688,212000000000.0,80221853701.0,237128049,221348148,428000000000.0,198000000000.0,15.83,191.25,207.08
3630,EP,1410943456,37899151,468146164,80750415069.0,306322.45,5174,5174,306260.76,57952994654,3049614258,1403600251,563601805,80223032725.0,1442312604,197000000000.0,36907552,471459546,212000000000.0,80234319649.0,237681574,221879490,428000000000.0,198000000000.0,14.03,191.18,205.21
3631,EP,1410834631,36664734,457980164,80739392058.0,306483.91,814,814,306466.36,57821737584,3003958319,1404651187,559906493,80123873541.0,1445132175,197000000000.0,36032466,456580978,212000000000.0,80075477012.0,237076102,221227888,428000000000.0,197000000000.0,16.84,191.08,207.92000000000002
3632,EP,1416084663,37848268,470306712,80697817270.0,306306.33,1659,1659,306367.87,57955440852,3055644453,1404758288,564427412,80336985442.0,1446588539,197000000000.0,37305431,478431400,213000000000.0,80247270318.0,238259484,222362840,428000000000.0,198000000000.0,15.5,191.65,207.15
3633,EP,1410070516,37305285,457023795,80637684609.0,306175.27,22,22,305928.98,57795195679,3029283577,1401453121,562684760,80291975801.0,1445947272,196000000000.0,36493715,467698780,212000000000.0,80122660833.0,237020858,221194400,427000000000.0,198000000000.0,15.23,191.14,206.36999999999998
3634,EP,1404721224,37016251,460162602,80571799288.0,305762.47,2,2,305955.07,57562884043,3026087946,1402555192,563426834,80112830646.0,1443883897,197000000000.0,37107716,461455397,212000000000.0,80078005985.0,237129306,221419996,428000000000.0,198000000000.0,16.12,191.44,207.56
3635,EP,1411005275,37644494,474488415,80677767487.0,306419.18,44,44,306557.67,57824050256,3057120430,1412729799,564993420,80273953211.0,1446677083,198000000000.0,37025235,479175488,213000000000.0,80388994824.0,238386200,222441086,428000000000.0,198000000000.0,16.41,192.22,208.63
3636,EP,1408624890,36536789,454224807,80728665610.0,306395.14,1,1,306356.63,57706610096,3008261279,1408591715,563519911,80207452041.0,1445878062,197000000000.0,35678865,458497452,212000000000.0,80225074361.0,236801049,221045300,428000000000.0,198000000000.0,16.57,191.54,208.10999999999999
3637,EP,1405195475,37594032,468906687,80817694761.0,306129.09,1180,1193,305738.04,57612845011,3064554096,1407034637,564584767,80089242726.0,1442944748,197000000000.0,37342441,472474355,212000000000.0,80169686387.0,237459587,221577384,427000000000.0,198000000000.0,17.21,191.68,208.89000000000001
3638,EP,1401019757,38418209,474935651,80518117628.0,305509.04,617,604,305530.51,57554024904,3040623218,1407808725,562536810,80025128687.0,1444091641,197000000000.0,37035012,476164742,212000000000.0,79930405151.0,237482901,221731930,427000000000.0,197000000000.0,16.3,191.71,208.01000000000002
3639,EP,1403298255,36998280,463545077,80390550573.0,305726.08,7,7,306070.44,57636885028,3024717069,1408960807,563302009,80193528727.0,1445173930,197000000000.0,36401036,465089125,212000000000.0,80182180316.0,237396939,221502260,428000000000.0,198000000000.0,17.79,192.16,209.95
3640,EP,1405456707,37348271,467542940,80782839314.0,306427.53,4,4,306496.38,57737166573,3037324625,1408149409,565637972,80349595302.0,1445540757,197000000000.0,36807137,469256915,212000000000.0,80338914027.0,237730461,221828516,428000000000.0,198000000000.0,16.53,192.26,208.79
3641,EP,1404962303,37950845,468183902,80796152585.0,306124.46,5,5,306056.02,57596488383,3021435509,1405869243,562212052,80133250484.0,1442660753,197000000000.0,36732357,468994599,212000000000.0,80121967253.0,237426052,221708326,428000000000.0,198000000000.0,16.89,192.38,209.26999999999998
3642,EP,1407789393,37524047,471321010,80726889020.0,306271.48,2282,2282,305835.0,57677301214,3047437121,1408390186,564574899,80309878233.0,1448565815,197000000000.0,37374166,477154670,213000000000.0,80134301278.0,237892749,221974718,427000000000.0,198000000000.0,17.05,192.63,209.68
3643,EP,1403303496,36893903,459463155,80614247791.0,305596.91,1761,1761,305671.6,57639980172,3013458466,1407140579,563303743,80077702986.0,1442732173,196000000000.0,36270118,465557871,212000000000.0,80044555546.0,236733766,220932712,427000000000.0,197000000000.0,16.01,191.79,207.79999999999998
3644,EP,1401370790,38046389,471765342,80695716372.0,305766.52,1631,1631,306252.89,57819325928,3058489634,1409762236,565610997,80302419065.0,1445479792,198000000000.0,37598149,474300986,213000000000.0,80503604384.0,237966103,222157208,428000000000.0,198000000000.0,15.94,192.45,208.39
3645,EP,1405907283,37032915,465865877,80950113102.0,306487.53,1128,1128,306306.59,57650028481,3038073071,1407072082,565452353,80213816659.0,1448241657,197000000000.0,36532216,467620892,213000000000.0,80164235149.0,237624062,221823812,428000000000.0,198000000000.0,15.94,192.74,208.68
3646,EP,1413443052,36528052,455191123,80620808166.0,306445.48,573,573,306214.47,57652127680,3018275446,1403766854,561085483,80141863380.0,1452232541,196000000000.0,36079524,460322762,212000000000.0,80104289001.0,236818649,220962504,427000000000.0,197000000000.0,16.9,192.12,209.02
3647,EP,1406820371,37203581,470514434,80730102934.0,305838.52,3022,3072,306189.75,57787831199,3047227046,1404189476,564578321,80301931331.0,1447390382,197000000000.0,37029488,478371369,212000000000.0,80284162831.0,237792334,221949126,428000000000.0,198000000000.0,16.78,193.08,209.86
3648,EP,1406364945,36864751,461842059,80776722411.0,306170.92,3500,3451,305892.73,57530616906,3027308131,1400932679,560438380,80084495213.0,1446330478,196000000000.0,37114564,461289129,212000000000.0,80088275832.0,236748721,220945522,427000000000.0,197000000000.0,16.48,192.17,208.64999999999998
3649,EP,1407785270,37257924,470461482,80643582799.0,305905.74,2981,2980,305839.18,57683081340,3042537163,1403310358,561216151,80051299053.0,1449874529,197000000000.0,36801768,473717796,212000000000.0,80105522433.0,237201992,221420486,427000000000.0,197000000000.0,16.88,192.59,209.47
3650,EP,1408139434,37641025,470181014,80596389297.0,305755.57,5762,5762,306026.82,57722315407,3045490466,1405217243,563776435,80246040469.0,1448736574,197000000000.0,37356246,476961873,212000000000.0,80163121938.0,237773804,221899692,428000000000.0,198000000000.0,16.91,193.35,210.26
3651,EP,1407482790,36869124,458417273,80648670877.0,306464.84,5982,6027,306623.45,57713346581,3033470937,1402215191,560798647,80280305685.0,1448956062,197000000000.0,35915241,461487005,212000000000.0,80334752969.0,237176189,221364920,428000000000.0,198000000000.0,15.46,192.52,207.98000000000002
3652,EP,1409554438,37659098,469750986,81003212823.0,306493.54,276,231,306101.5,57717255019,3060026343,1405635337,563065894,80220950602.0,1445768656,197000000000.0,37633557,478932652,213000000000.0,80135969805.0,237699427,221825590,427000000000.0,198000000000.0,16.07,193.14,209.20999999999998
3653,EP,1409669443,36423132,454364559,80444914488.0,306074.96,274,274,306045.19,57630017213,3023352236,1407178198,562486538,80106548822.0,1443487059,196000000000.0,35932055,460437839,212000000000.0,80082280195.0,236806596,221046238,427000000000.0,198000000000.0,17.99,192.65,210.64000000000001
3654,EP,1406663100,37422114,464068518,80663904076.0,306287.69,2,2,306638.38,57731722212,3048155050,1406649689,563938619,80299965732.0,1442983357,197000000000.0,36271686,468099997,213000000000.0,80323634218.0,237979025,222108124,429000000000.0,198000000000.0,16.07,193.23,209.29999999999998
3655,EP,1409713022,37912272,467460050,81042983754.0,306283.07,4093,4099,306012.26,57709617961,3043758920,1405223533,564615547,80126896902.0,1444899271,198000000000.0,37368319,478347295,213000000000.0,80222590467.0,237917827,222053146,427000000000.0,198000000000.0,15.55,193.14,208.69
3656,EP,1407922641,36412601,456321334,80491211103.0,306254.79,2990,2984,306453.43,57735755955,3020901116,1409289808,563288737,80307552726.0,1452367266,196000000000.0,36098324,460257697,212000000000.0,80145721458.0,237089974,221308388,428000000000.0,198000000000.0,15.15,192.88,208.03
3657,EP,1411603349,37764731,463772988,80786000813.0,306567.25,1904,1904,306695.88,57943586884,3042443671,1404842979,565139276,80410292550.0,1451493495,197000000000.0,36940869,469946145,212000000000.0,80296142489.0,237844074,221968684,428000000000.0,198000000000.0,15.29,193.37,208.66
3658,EP,1413652318,36836684,464161014,80855653922.0,306792.62,274,274,306764.55,57910399548,3037860021,1405153484,560714747,80172057959.0,1454654676,197000000000.0,37462803,467449634,213000000000.0,80296107311.0,237862790,222019574,428000000000.0,198000000000.0,16.08,193.4,209.48000000000002
3659,EP,1417042229,37223895,464518483,80631051325.0,306424.32,8,8,306238.64,57945179833,3030016180,1405182958,562938043,80263143391.0,1456017929,196000000000.0,36554743,471382618,212000000000.0,80231447708.0,237520090,221666956,428000000000.0,198000000000.0,16.27,193.74,210.01000000000002
3660,EP,1411890679,37120277,467383179,80769777228.0,306379.59,2,2,306226.41,57934868168,3034866665,1402619996,562840895,80197685647.0,1451314144,196000000000.0,36488954,470081676,212000000000.0,80174855391.0,237263321,221464502,427000000000.0,198000000000.0,16.53,193.27,209.8
3661,EP,1411089647,36858011,462420791,80750714895.0,305890.08,2,2,306167.98,57842590548,3014275710,1402346340,561163946,80149143332.0,1454823640,196000000000.0,36502645,465423114,212000000000.0,80272737236.0,237325453,221480154,428000000000.0,197000000000.0,16.02,193.52,209.54000000000002
3662,EP,1411895409,37811000,466625483,80638062527.0,306646.62,4,4,306647.1,57988946592,3039413290,1406909145,562762820,80264349710.0,1458490587,197000000000.0,37101366,471219903,213000000000.0,80238096960.0,237946960,222109650,428000000000.0,198000000000.0,16.11,193.71,209.82
3663,EP,1392961732,36813553,455204107,80726427223.0,306523.32,0,0,306591.92,57833015794,3023834734,1412297560,564424506,80267564657.0,1450031059,197000000000.0,35786363,457273792,212000000000.0,80231370772.0,236997924,221162452,428000000000.0,198000000000.0,16.8,193.25,210.05
3664,EP,1383803463,37851701,475362917,80883871081.0,306155.61,24,24,306070.49,57650138336,3032624104,1410625413,566804294,80131965678.0,1445787701,198000000000.0,37424366,479615312,213000000000.0,80216391570.0,237946888,222120374,428000000000.0,198000000000.0,16.36,194.03,210.39
3665,EP,1391012626,37216024,465002318,80640376505.0,306333.53,3,3,306027.14,57664237269,3028118446,1411671042,565635778,80020998505.0,1451004784,197000000000.0,36231888,468782334,212000000000.0,80066396521.0,237289384,221490766,427000000000.0,197000000000.0,18.22,193.4,211.62
3666,EP,1385775480,37222723,458023313,80561713489.0,305817.61,2,2,306057.21,57697059378,3018678573,1414646796,564145132,80232124884.0,1450102404,196000000000.0,35994111,460580849,212000000000.0,80132940823.0,236853303,221006730,428000000000.0,198000000000.0,17.75,193.68,211.43
3667,EP,1390374704,37799901,471407253,80833276252.0,306258.94,9,9,306397.58,57779027300,3048581966,1411873917,568213561,80351935573.0,1448014845,198000000000.0,36854380,481061874,213000000000.0,80488220752.0,238346098,222480216,428000000000.0,198000000000.0,18.07,194.04,212.10999999999999
3668,EP,1387621569,36732413,455406256,80722182532.0,306392.23,20,20,306391.16,57600412098,3019661482,1412113194,562958228,80101808233.0,1450206138,197000000000.0,35891371,458504361,212000000000.0,79962356481.0,237179391,221409104,428000000000.0,197000000000.0,18.44,193.78,212.22
3669,EP,1389646668,37770033,471361972,80649734699.0,306556.74,5,5,306356.05,57735793545,3039681905,1412349445,565364991,80163577754.0,1449221205,197000000000.0,36986786,471755208,212000000000.0,80206991449.0,237732000,221873666,428000000000.0,198000000000.0,16.35,194.01,210.35999999999999
3670,EP,1385145563,37274573,469331630,80591526669.0,305956.39,3,3,305842.61,57650186854,3053818965,1409726611,567074240,80170885198.0,1445041075,197000000000.0,36663961,476758578,212000000000.0,80183106312.0,237569677,221679892,427000000000.0,198000000000.0,16.67,193.68,210.35000000000002
3671,EP,1386182536,36588583,458119425,80729497433.0,305864.77,3,3,306172.17,57582318936,3015355775,1409865830,563826698,79987779411.0,1448471892,197000000000.0,35911565,459727416,212000000000.0,80063081568.0,236990734,221229736,428000000000.0,197000000000.0,16.89,193.68,210.57
3672,EP,1392141695,36769910,467577508,80520947464.0,306570.12,24,24,306379.79,57738368022,3036682084,1416614980,566471598,80231981513.0,1446574735,197000000000.0,36671833,469842849,213000000000.0,80206525240.0,237725062,221903094,428000000000.0,198000000000.0,17.04,194.25,211.29
3673,EP,1391509479,38385343,472243801,80743683735.0,306403.07,1569,1569,306508.26,57903044889,3067303323,1416834213,567096321,80368662670.0,1447091934,198000000000.0,37672114,477836421,213000000000.0,80480387950.0,238225267,222304012,428000000000.0,199000000000.0,14.96,194.43,209.39000000000001
3674,EP,1396701738,37273029,465103657,80686818584.0,306389.82,24,24,306446.26,57673361106,3053788033,1414110358,565895577,80083479911.0,1441103745,197000000000.0,36928994,470353779,213000000000.0,80045380472.0,237653123,221783100,428000000000.0,198000000000.0,16.14,194.3,210.44
3675,EP,1395625629,37254626,466310192,80357489041.0,306280.21,22,22,305891.27,57675292170,2997806319,1416588749,566043065,80251694944.0,1437251711,197000000000.0,36020221,466865654,212000000000.0,80037832259.0,237024572,221272170,427000000000.0,197000000000.0,15.67,193.74,209.41
3676,EP,1388911103,37533333,469694771,80411411946.0,305835.9,186,186,306166.78,57688320426,3050197703,1412752138,569704576,79982301181.0,1428040443,197000000000.0,37315673,476347775,212000000000.0,79872729571.0,237626277,221742192,428000000000.0,198000000000.0,16.64,194.14,210.77999999999997
3677,EP,1297756770,36440149,542974487,76396671017.0,305989.83,1623,1668,306014.99,55706434876,3339485133,1293964447,616540465,75302568208.0,1305608477,198000000000.0,35851463,553725042,213000000000.0,75321060180.0,236233433,220485272,427000000000.0,198000000000.0,14.95,191.27,206.22
3678,EP,844935651,28979413,849939391,56527418972.0,305797.29,3044,2999,305254.12,47445288733,4623611164,776259109,786803640,54936916836.0,809560803,199000000000.0,27754437,874982275,214000000000.0,54720323129.0,230499377,215059866,425000000000.0,199000000000.0,12.19,177.88,190.07
3679,EP,510570925,29073432,1081896085,44417106672.0,306563.0,8868,9014,308258.99,43212553130,5660384668,514587932,879756839,44647243400.0,522112479,206000000000.0,30791468,1115387641,221000000000.0,44696925039.0,237497744,221898782,437000000000.0,207000000000.0,10.47,177.62,188.09
3680,EP,451895172,24018521,1129633628,42602058654.0,313112.62,1182,1036,312943.89,42585492597,5824592992,455146278,901401505,42271627885.0,456247072,206000000000.0,24083136,1129637774,221000000000.0,42219347314.0,235009385,219268322,436000000000.0,206000000000.0,9.02,174.37,183.39000000000001
3681,EP,447060752,23562050,1127475869,42465806218.0,312409.38,2,2,312368.82,42553021383,5824282119,453018702,902974828,42386073519.0,454037739,205000000000.0,23226329,1131886441,220000000000.0,42318808079.0,235005982,219345462,436000000000.0,205000000000.0,9.27,174.35,183.62
3682,EP,447797344,23404271,1131696868,42550863018.0,312521.9,98,98,312783.34,42656586923,5812066151,452803709,904958781,42393886593.0,454273886,206000000000.0,23080253,1131952603,220000000000.0,42375582799.0,235245614,219567978,437000000000.0,206000000000.0,8.04,174.43,182.47
3683,EP,448052958,22475383,1118559044,42374569343.0,312969.38,95,95,312643.24,42409973501,5764600469,448537600,892257248,41687320668.0,447435329,202000000000.0,21973842,1096085250,216000000000.0,41354355519.0,229100952,213507462,425000000000.0,199000000000.0,9.33,168.62,177.95000000000002
